     Inode Address Inode Number              Path
0xffff88002c31ea98                         5 /dev/mem
0xffff88002c31e808                         4 /dev/rfkill
0xffff88002c31e578                         3 /dev/vga_arbiter
0xffff88002bae2058                         2 /dev
0xffff88002970c808                        19 /dev/stderr
0xffff88002970c578                        18 /dev/stdout
0xffff88002970c2e8                        17 /dev/stdin
0xffff88002970c058                        16 /dev/fd
0xffff88002eb779f8                        15 /dev/core
0xffff88002ef16fb8                        14 /dev/tty
0xffff88002ef17768                        13 /dev/urandom
0xffff88002bae3c88                        12 /dev/random
0xffff88002bae39f8                        11 /dev/full
0xffff88002bae3768                        10 /dev/zero
0xffff88002bae34d8                         9 /dev/null
0xffff88002bae3248                         8 /dev/log
0xffff88002bae2fb8                         7 /dev/hugepages
0xffff88002bae2d28                         6 /dev/mqueue
0xffff88002bae2a98                         5 /dev/shm
0xffff88002bae2808                         4 /dev/ptmx
0xffff88002bae2578                         3 /dev/pts
0xffff880025b24258                      9515 /dev/hugepages
0xffff88002a7b6d28                         2 /run/user/user/1000
0xffff880028cba578                        25 /run/user/user/1000/unity
0xffff88002ac294d8                        20 /run/user/user/1000/pulse
0xffff880027c8afb8                        24 /run/user/user/1000/pulse/native
0xffff88002a768578                        23 /run/user/user/1000/pulse/pid
0xffff88002a3bf248                        18 /run/user/user/1000/dconf
0xffff880028cbad28                        22 /run/user/user/1000/dconf/user
0xffff880028cba2e8                        27 /run/user/user/1000/dconf/user
0xffff880026e29248                        26 /run/user/user/1000/dconf/user
0xffff88002ac28808                        21 /run/user/user/1000/dconf/user
0xffff88002ea3a808                        19 /run/user/user/1000/dconf/user
0xffff88002a3bfc88                        17 /run/user/user/1000/gvfs
0xffff880026c5f248                        15 /run/user/user/1000/upstart-file-bridge.1118.pid
0xffff880026c5fc88                        16 /run/user/user/1000/upstart-dbus-bridge.1118.pid
0xffff88002a7479f8                        12 /run/user/user/1000/dbus-session
0xffff8800295c1c88                        11 /run/user/user/1000/upstart-udev-bridge.1118.pid
0xffff8800295c0808                         8 /run/user/user/1000/upstart
0xffff8800295c0578                         9 /run/user/user/1000/upstart/sessions
0xffff8800295c19f8                        10 /run/user/user/1000/upstart/sessions/1118.session
0xffff8800295c14d8                         6 /run/user/user/1000/keyring
0xffff88002a8f6578                        14 /run/user/user/1000/keyring/ssh
0xffff880026c5ea98                        13 /run/user/user/1000/keyring/pkcs11
0xffff8800295c1768                         7 /run/user/user/1000/keyring/control
0xffff88002a7694d8                         3 /run/user/user/1000/systemd
0xffff8800295c0a98                         5 /run/user/user/1000/systemd/private
0xffff8800295c02e8                         4 /run/user/user/1000/systemd/notify
0xffff88002b58a470                         1 /sys/fs/fuse/connections
0xffff880029cb7868                     16344 /sys/fs/fuse/connections/42
0xffff880029c40d50                     16348 /sys/fs/fuse/connections/42/congestion_threshold
0xffff88002b16a6a8                     16347 /sys/fs/fuse/connections/42/max_background
0xffff88002b3e5630                     16346 /sys/fs/fuse/connections/42/abort
0xffff880029cb7aa0                     16345 /sys/fs/fuse/connections/42/waiting
0xffff88002b75c470                         1 /sys
0xffff88002b35c000                       247 /sys/power
0xffff88002b35cd50                       259 /sys/power/disk
0xffff88002b35c470                       248 /sys/power/state
0xffff88002f0cef88                        11 /sys/firmware
0xffff88002b54ed50                      1022 /sys/firmware/acpi
0xffff88002b54ef88                      1041 /sys/firmware/acpi/tables
0xffff88002f0b2f88                       990 /sys/block
0xffff88002f0b31c0                     14583 /sys/block/sda
0xffff88002f0933f8                         5 /sys/dev
0xffff88002b591630                         7 /sys/dev/char
0xffff880000c46f88                      7884 /sys/dev/char/4:64
0xffff880000c46d50                      7923 /sys/dev/char/4:65
0xffff880000c46b18                      8274 /sys/dev/char/4:74
0xffff880000c468e0                      8313 /sys/dev/char/4:75
0xffff880000c466a8                      8352 /sys/dev/char/4:76
0xffff880000c46470                      8391 /sys/dev/char/4:77
